ra_degrees,dec_degrees,magnitude
16.94216802,-9.78559168,5.71
16.94927201,-41.48693516,5.21
16.98795829,20.73932115,5.56
17.00299391,43.94224107,5.04
17.05383776,54.92422766,5.17
17.09309979,5.6502213,5.51
17.0960837,-55.24583235,3.94
17.13936547,58.26347937,5.77
17.14693197,-10.181928,3.46
17.18399735,86.25711803,4.24
17.37550908,47.2418241,4.26
17.43248991,35.62083048,2.07
17.45502008,19.6583854,5.57
17.57852966,42.08157668,5.67
17.58103932,25.45803989,5.81
17.63982219,2.44570842,5.97
17.66360631,68.77868759,5.32
17.77471116,55.14994765,4.34
17.7782219,31.42476555,5.15
17.79287081,37.72413814,5.8
17.85631897,64.20272388,5.56
17.86330901,21.03467568,4.66
17.91494471,30.08972962,4.51
17.92237013,65.01888517,5.57
17.93142731,-2.25102487,5.93
18.06878934,79.67397492,5.6
18.1890296,-37.85640391,5.95
18.43250986,7.57548895,5.21
18.43723014,24.58376482,4.67
18.53186747,16.13354221,5.97
18.59986241,-7.9235004,5.14
18.70491873,-0.97429411,5.7
18.79403213,-45.53209717,4.97
18.93956391,-68.87623708,4.25
19.04959061,71.74384538,5.87
19.15144476,-2.5002128,5.42
19.4499337,3.61452038,5.13
19.86657455,27.26408682,4.74
19.9512172,-0.5089949,5.87
20.02049027,58.2316161,4.95
20.28064145,28.73838983,5.23
20.58497087,45.5287566,4.87
20.85396862,20.4689899,5.97
20.87903356,-30.94550599,5.84
20.91898254,37.71499034,5.6
21.00604671,-8.18275372,3.6
21.08535375,-6.91466853,5.92
21.16988858,-41.49245885,5.42
21.27198122,-64.3694363,5.92
21.40503869,-14.59875437,4.9
21.45251267,60.23540347,2.66
21.48293404,68.12994739,4.72
21.56366085,19.17232096,5.35
21.57749566,43.45788606,5.98
21.67352916,19.24056476,5.5
21.71481835,-13.05653391,5.51
21.9128547,45.40695287,4.83
22.0914236,-43.31772906,3.41
22.40041765,-21.62934677,5.11
22.52542506,47.00737711,5.27
22.54559597,6.14393314,4.84
22.5953198,-26.20785462,5.92
22.80632718,70.2647886,5.82
22.81242306,-49.07307701,3.93
22.87080776,15.34583101,3.62
22.93021487,-30.28292502,5.79
23.23355059,-36.86518161,5.49
23.35711597,58.32734523,5.69
23.42805448,-7.02514279,5.75
23.48302496,59.23209665,4.68
23.56915511,37.23719753,5.9
23.65717247,-15.6763527,5.62
23.704364,18.46067238,5.9
23.97777176,17.43378965,5.95
23.99565496,-15.40021584,5.41
24.03512124,-29.9074336,5.69
24.19990413,41.40638491,4.1
24.27483902,12.14151058,5.54
24.3657494,-84.76965017,5.66
24.42813204,-57.23666007,0.45
24.47908355,-82.97528876,5.88
24.49792651,48.62848641,3.59
24.53151544,57.97764488,5.55
24.61455891,-36.5279533,5.94
24.62892127,73.04007203,5.28
24.71544923,-21.27547447,5.58
24.83757938,44.38612827,5.01
24.9198664,16.40588595,5.98
24.94684603,-56.19644067,5.76
25.14501739,40.57710624,4.96
25.16483499,43.29776385,5.63
25.35794814,5.48760445,4.45
25.413509,30.04713542,5.97
25.4366587,-11.32366816,5.75
25.44381547,42.61380692,4.96
25.44980076,-60.78924102,5.7
25.51256331,-36.83226421,5.7
25.51439571,35.24576705,5.63
25.53602338,-32.32685759,5.25
25.5851851,68.04304624,5.57
25.62146258,-53.7405747,5.52
25.62479083,20.27015091,5.24
25.68132047,-3.69011692,4.98
25.73220374,70.62255881,5.18
25.83223958,60.55137091,5.78
25.9150637,50.6887655,4.01
26.02136441,-15.93955597,3.49
26.34828629,9.15764102,4.26
26.41106016,-25.05243403,5.29
26.49694074,-5.73322696,5.37
26.52469172,-50.81621317,5.49
26.52557865,-53.52218065,5.04
26.9336011,63.85310111,5.63
27.0454279,16.95563093,5.86
27.10843265,3.68540364,5.91
27.16184118,37.95293583,5.94
27.17366149,32.68948705,5.78
27.39662961,-10.68618074,4.66
27.53575113,22.2753566,5.83
27.71672491,11.0434459,5.92
27.72699465,-50.20612713,5.94
27.73786884,51.93369809,5.96
27.86504416,-10.33494526,3.74
27.99711412,55.14740479,5.53
28.03897527,50.79286359,5.7
28.21703176,-16.92912351,5.78
28.27041595,29.57939727,3.42
28.32229965,40.72979974,5.42
28.38235506,19.29409264,3.88
28.38890233,3.18747844,4.61
28.41174872,-46.30244631,4.39
28.59191795,-42.49688104,5.12
28.59868107,63.67014686,3.35
28.65978771,20.80829949,2.64
28.73339519,-67.64748114,4.68
28.96263355,23.57734317,5.76
28.97697359,37.27780093,5.89
28.98680207,-51.60958673,3.69
29.00001575,68.68526545,4.97
29.03845779,37.251804,5.69
29.16732782,-22.52671153,4.92
29.29163705,-47.38529869,4.82
29.33763922,17.8175894,5.09
29.43223051,27.8045238,5.84
29.48239763,23.5960961,4.79
29.63958177,49.204252,5.7
29.69113269,-61.56992444,2.86
29.89831329,21.05860461,5.89
29.90828959,64.62163894,5.29
29.91189289,-42.03028941,5.57
29.94245126,-20.82457549,5.43
30.0009367,-21.07777193,3.99
30.03760293,3.09763527,5.89
30.11154942,-8.52382616,5.43
30.3116514,-30.00156583,5.34
30.42667654,-44.71339037,5.15
30.48979079,70.90704605,4.49
30.51166929,2.76376048,3.82
30.57530917,54.48754946,4.99
30.6461577,13.47672808,5.97
30.71872421,64.90149425,6.0
30.7415286,33.28415151,5.5
30.74397324,-15.30594985,5.87
30.75078582,64.39002289,5.59
30.7983571,0.12845397,5.42
30.85912643,72.42123962,3.95
30.91359346,25.93544879,5.64
30.91868509,-4.10336397,5.61
30.9505127,-0.34014611,5.96
30.97466283,42.32984832,2.1
31.12262534,-29.29683966,4.68
31.27938922,77.28145654,5.27
31.38157411,76.11511028,5.22
31.64130188,22.64840404,5.03
31.79285757,23.46277743,2.01
32.12144102,37.85918337,4.78
32.16908619,58.42360489,5.66
32.28888091,-43.51647088,5.84
32.35535861,25.93997268,4.98
32.38550383,34.98739204,3.0
32.6564251,19.50040351,5.68
32.83817716,8.57008262,5.64
32.8426776,-10.05174603,6.0
32.89933984,-1.82534866,5.94
33.09301632,30.30321507,4.94
33.1563008,24.16779356,5.96
33.19717997,-2.3934596,5.65
33.19993262,21.21098318,5.23
33.22691696,-30.72384252,5.27
33.25004577,8.8467523,4.36
33.25396814,-21.0002366,5.86
33.26352181,15.27991044,5.72
33.30558667,44.23168903,4.84
33.40008213,51.06623342,5.31
33.56042796,-67.84155199,5.57
33.63317374,-41.16670109,5.91
33.86899336,-67.74633515,5.67
33.92847664,25.0432553,5.57
33.94139916,25.78309877,5.79
33.98456296,33.35897589,5.25
34.12708452,-51.51211145,3.56
34.24578955,-6.4218563,5.51
34.26007346,34.22482985,4.84
34.32848216,33.84732099,4.03
34.49925395,57.89980835,5.75
34.50510951,1.75689975,5.6
34.51916463,57.51632574,5.99
34.53144339,19.90116135,5.58
34.73745342,28.64267411,5.29
34.82019851,47.37998782,5.31
34.97602796,-55.94484169,5.81
35.24238707,50.15154156,5.57
35.43759585,-68.6594239,4.08
35.48597927,0.39569203,5.29
35.50600237,-10.77733458,5.43
35.52073828,-17.66202807,5.89
35.55169522,-0.88474037,5.42
35.58930899,55.84565637,5.16
35.6350873,-23.81631542,5.19
35.70984185,41.39653472,5.81
35.71864225,-73.64582097,5.99
35.72772659,-51.09228926,5.9
36.10372497,50.00663318,5.19
36.20435282,10.61059804,5.48
36.22497693,-60.31162902,5.36
36.40583743,50.27866588,4.73
36.48755111,-12.290452,4.88
36.50156687,-15.34111517,5.88
36.64651715,-20.04286354,5.89
36.74627081,-47.70382692,4.24
36.86578353,31.80134872,5.55
37.00704179,-33.81105246,5.13
37.03965786,8.4600887,4.3
37.04162643,29.66953828,5.29
37.20224439,29.93158402,5.89
37.26661741,67.40238385,4.46
37.63464227,25.23521368,5.88
37.68847239,0.25587583,6.0
37.87534312,2.26720689,5.27
37.91716991,-79.10924959,5.27
37.94614689,89.26413805,1.97
38.02198846,-15.2443199,4.74
38.02556633,36.14723132,5.15
38.03931801,-1.03481751,5.36
38.21940851,34.54245642,5.84
38.22562452,15.03446457,6.0
38.2793288,-34.64992327,5.91
38.4613017,-28.2323401,4.96
38.67745683,-7.8592885,5.74
38.91142631,37.3122905,5.72
38.94498948,34.68768289,5.38
38.9687042,5.59330163,4.87
39.00028366,-7.83145306,5.53
39.01596864,6.88336423,5.79
39.03865189,-30.04496366,5.74
39.14626535,7.73007761,5.81
39.1572862,12.44784628,5.64
39.23782977,38.73398283,5.91
39.24425358,-34.57734519,5.78
39.35110362,-52.54308845,5.3
39.40002834,65.74535775,5.8
39.42407297,-3.39606767,5.65
39.50870051,72.81821481,5.17
39.57748196,-30.19388274,5.84
39.70416245,21.96144509,5.45
39.87061789,0.3285168,4.08
39.89054885,-11.87158159,4.83
39.8967653,-68.2669476,4.12
39.94966387,-42.89163328,4.74
40.05209879,-9.45268375,5.79
40.16491631,-54.54992422,5.21
40.16638213,-39.85530905,4.11
40.17097186,27.06100903,5.3
40.30779517,-0.69534847,5.72
40.39221887,-14.54941172,5.98
40.52746495,-38.3837178,5.99
40.5622035,40.19438688,4.91
40.59134429,20.0115769,5.74
40.63816025,-50.80082665,5.4
40.74778071,53.5261822,5.85
40.76167775,55.10607111,5.76
40.82551897,3.23617162,3.47
40.86296031,27.70717078,4.65
41.02149224,44.2970548,5.43
41.03064356,-13.85867594,4.24
41.04869991,49.22866639,4.1
41.13737997,15.31189952,5.78
41.20695883,67.82470926,5.95
41.23488901,10.11421979,4.27
41.23961417,12.44596709,5.17
41.27492276,-18.57265077,4.47
41.36438582,-63.70453152,5.73
41.38555249,-67.616724,4.83
41.94847766,81.44866603,5.8
41.97683942,29.24742385,4.52
42.13359632,18.28387012,5.83
42.19112221,25.18807322,5.89
42.2556956,-62.80659207,5.25
42.27233113,-32.40628403,4.45
42.32315708,17.46434448,5.26
42.47562958,-27.94203549,5.39
42.49578911,27.26079044,3.61
42.56144528,-35.84368582,5.92
42.6189035,-75.06688108,4.76
42.64547584,38.31890838,4.22
42.66834974,-35.67571664,5.48
42.67413655,55.89552955,3.77
42.75977464,-21.0039789,4.76
42.87319979,15.08212726,5.52
42.87846216,35.05989415,4.56
42.92396836,46.84200204,5.86
42.99478506,68.88851683,5.94
43.39313847,-38.43708698,5.93
43.39695392,-22.37612257,5.93
43.42740906,38.33767914,5.34
43.564427,52.76248991,3.93
43.9520949,18.33167607,5.76
43.98642959,61.52106281,5.59
44.05720205,8.38177807,5.97
44.10668245,-8.89760976,3.89
44.10825985,18.02365076,5.58
44.15602146,-3.71221461,5.16
44.32200201,31.93429432,5.1
44.34875521,-23.8620767,5.44
44.52114653,20.66881016,5.8
44.52369967,-23.60613828,5.82
44.5654818,-40.30473491,2.88
44.67538999,-2.78272383,5.22
44.69021034,39.66282739,4.68
44.69902505,-64.07129717,4.98
44.7654574,35.18311415,4.94
44.80305773,21.34044477,4.63
44.90027293,-25.27433851,5.69
44.91611677,41.03305347,5.89
44.92151015,-2.46490094,5.56
44.92873469,8.90740111,4.71
44.95742747,47.22063875,5.47
45.18372171,10.87047197,5.93
45.21743352,52.35179769,5.24
45.29152748,-7.66283629,5.75
45.40604298,-28.09048221,5.88
45.47562665,26.46234187,5.91
45.48372163,-9.96139327,5.84
45.56415553,-71.90249547,5.51
45.56991279,4.08992539,2.54
45.59378383,4.35287042,5.62
45.59830468,-23.62433613,4.08
45.6760804,-7.68546315,5.32
45.73267366,-46.97504226,5.81
45.90376552,-59.73761994,5.12
46.06865515,-7.60089934,5.26
46.19912598,53.50645031,2.91
46.29373754,38.84053298,3.32
46.36119708,25.25519906,5.45
46.38510717,56.7055481,4.77
46.53313395,79.41851027,5.49
46.59869819,13.18740263,5.64
46.63953388,-6.08854227,5.23
46.8292369,64.05760178,5.89
46.88292015,-78.98942329,5.67
47.04220716,40.9556512,2.09
47.26201363,49.61350009,4.05
47.37345463,44.85788896,3.79
47.40303182,29.07711221,5.74
47.6615639,11.87269252,5.97
47.82250605,39.61157075,4.61
47.90695691,19.72669777,4.35
47.92855231,81.47071191,5.92
47.98432711,74.39386878,4.85
48.01783332,-28.98910623,3.8
48.05932746,27.25701296,5.78
48.10699596,-44.41965395,5.92
48.10987466,6.66088598,5.55
48.13808292,-57.32158199,5.71
48.19301506,-1.19593294,5.07
48.34940955,48.17699884,5.93
48.72547816,21.04462873,4.87
48.83519839,30.55667481,5.61
48.94988581,57.14062522,5.79
48.95844499,-8.8198405,4.8
48.98899185,-77.38860498,5.51
49.05085271,50.93771066,5.04
49.14663457,32.18421948,5.98
49.36084175,-47.7517377,5.84
49.43528798,-62.57689893,5.53
49.4405722,39.28341373,5.97
49.44721595,44.02508193,5.49
49.51038343,-28.797036,5.93
49.54640411,-62.50793537,5.24
49.59206509,-22.51114978,4.86
49.5928283,-0.93014105,5.62
49.65717026,50.22223526,5.16
49.67113524,-18.55964006,5.72
49.68259978,34.2226737,4.85
49.78174379,50.09502752,5.05
49.83974536,3.36997055,4.84
49.87904033,-21.7579421,3.7
49.89542972,-24.1228468,5.63
49.97177014,-43.07154929,4.26
49.9825537,27.07130717,5.91
49.99690314,65.65232717,4.74
50.08158506,77.73490142,5.44
50.08485949,29.04849835,4.47
50.27821082,3.67568149,5.7
50.30671225,21.14714057,5.27
50.35010618,-23.63508924,5.5
50.36086309,43.32965174,4.96
50.46821583,49.07105892,5.94
50.54954371,27.60757659,5.55
50.68863399,20.7421051,5.1
50.80490169,49.2133301,5.32
51.07693671,24.72418789,5.5
51.08061889,49.86124281,1.79
51.12366306,33.53601771,5.78
51.16900549,64.58599618,5.13
51.20349011,9.02906504,3.61
51.40105611,-69.33659399,5.96
51.59383221,-27.3176091,5.93
51.79217049,9.7327724,3.73
51.88902397,-35.68133899,5.71
52.00395041,-11.28648689,5.74
52.01270885,49.06293148,4.99
52.08616659,33.80769703,5.72
52.21794573,49.84844583,5.58
52.26722684,59.94033461,4.21
52.34179296,49.50901919,4.67
52.34244352,-62.93843436,4.71
52.40009401,-12.67474889,5.57
52.47810837,58.87875244,4.55
52.47997851,-42.63425261,5.76
52.49552432,-78.35178497,5.68
52.50095974,55.45183695,5.09
52.60198294,11.33648129,5.14
52.64367585,47.99517199,4.36
52.65374344,-47.3751741,5.98
52.65388405,48.10365477,5.82
52.65437447,-5.07516332,4.74
52.68914607,6.18874381,5.93
52.71534366,-66.4897181,5.81
52.71819576,12.93668186,4.14
53.03575392,48.02353391,5.47
53.08214603,84.91136314,5.62
53.10960058,46.05704336,5.3
53.14465247,-50.37884857,5.67
53.14970799,9.37355768,5.76
53.16675711,35.46172039,5.91
53.23509009,-9.45830584,3.72
53.39592658,39.89959026,5.79
53.41292455,54.97486087,5.98
53.44686638,-21.63281597,4.26
53.61093,24.46447543,5.95
53.9902171,-11.19397792,5.56
54.07246744,-17.46704107,5.24
54.12233383,48.19270068,4.32
54.19711994,0.58815498,5.82
54.21882896,0.40283316,4.29
54.2736588,-40.27451075,4.57
54.62189268,-7.39170945,5.86
54.75469049,-5.62570656,5.97
54.9630986,3.05684307,5.55
55.15972132,-5.21069726,5.53
55.28267183,37.58026421,5.55
55.53894572,63.21675891,5.06
55.56207975,-31.93839587,4.99
55.57893663,19.70028593,5.68
55.59434812,33.96503899,4.97
55.6780592,59.96938466,5.74
55.70884185,-37.31334485,4.59
55.7311754,47.7876533,3.01
55.81231706,-9.76519868,3.52
55.89099355,-10.48561144,5.59
56.04814541,-64.80709398,3.84
56.07969347,32.28827325,3.84
56.12711667,-1.16307844,5.24
56.13082016,36.46020384,5.6
56.20084227,24.28957712,5.45
56.21884811,24.1134484,3.72
56.23526063,-0.29671559,5.56
56.29052841,24.83937337,5.66
56.29851422,42.57854437,3.77
56.30200876,24.46737879,4.3
56.31616344,-47.35945424,5.72
56.41846008,6.05002905,5.34
56.45663804,24.36785796,3.87
56.47693278,24.55462128,5.76
56.49685459,45.68194432,5.66
56.50339866,67.20188088,5.79
56.50971937,63.34506772,4.78
56.53542672,-12.1017353,4.43
56.5390162,6.80365522,5.91
56.58150135,23.94846207,4.14
56.61426555,-29.33816606,5.91
56.71245432,-23.248438,4.22
56.80929799,-74.23924251,3.26
56.87110065,24.10524193,2.85
56.91508473,-23.87479582,5.24
56.98342907,-30.16732063,5.52
57.06771677,11.14336637,5.08
57.08668426,23.42136355,5.44
57.14884582,-20.90293608,5.81
57.14926223,-37.62012878,4.3
57.16215134,0.22787124,5.91
57.283845,43.96302293,5.95
57.29054669,24.05352412,3.62
57.29668368,24.13682565,5.05
57.30708659,70.87120237,5.4
57.36367035,-36.2001125,4.17
57.38035594,65.52600645,4.39
57.3862602,33.09138142,5.14
57.40258833,63.29710438,5.82
57.5185476,44.96792105,5.65
57.57881165,25.57964862,5.24
57.58948256,71.33236777,4.59
57.97381828,34.3591292,5.78
58.00093529,6.53491424,5.66
58.17355849,-5.36124167,5.48
58.29149356,17.32715595,5.97
58.38876601,-46.8935886,5.93
58.41112532,48.65056848,5.76
58.41218403,-34.73229529,5.11
58.42784574,-24.61221253,4.64
58.42996876,57.97536931,5.8
58.53299363,31.88365776,2.84
58.57286091,-2.95473348,4.46
58.59657689,-40.357029,5.7
58.81739077,-12.09905104,5.99
58.99232459,47.87147012,5.39
59.11953366,35.0809084,5.49
59.15181574,50.69569169,5.28
59.21680322,22.47825021,5.62
59.28455287,61.10891703,4.99
59.3559814,63.07224944,4.95
59.46342138,40.01027315,2.9
59.50720862,-13.50824471,2.97
59.68640623,-61.40015059,4.56
59.71842188,-5.46952376,5.85
59.74124892,35.79102701,3.98
59.87555244,-12.57433214,5.61
59.98115045,-24.01625677,4.62
60.1692644,-30.49070974,5.93
60.17008591,12.49037571,3.41
60.20285787,18.19406866,5.89
60.2241876,-62.15936923,4.48
60.32529605,-61.07905148,4.97
60.38347446,-1.54962625,5.28
60.44222088,9.99801393,5.67
60.65273634,-0.26831052,5.38
60.78907003,5.98930909,3.91
60.93584928,5.43563754,5.32
60.98543787,8.19720135,5.45
61.04078184,2.82725258,5.36
61.09030699,24.1060264,5.46
61.09461008,-12.79233884,5.62
61.11318196,59.15550819,5.0
61.17357446,22.0820679,4.36
61.33395641,22.00922152,5.9
61.40543294,-27.65203636,5.59
61.51320978,68.67996526,5.88
61.64606374,50.35135022,4.25
61.6516583,27.60002519,5.18
61.75215574,29.00128762,5.21
61.99754752,17.33992101,5.89
62.15206221,38.04022796,5.52
62.16530527,47.71259359,3.96
62.25650273,13.39829829,5.94
62.29125233,19.60929366,5.51
62.32431793,-16.38587725,5.45
62.5009327,86.62635165,5.84
62.51160698,80.69867409,5.1
62.59383269,-6.92382327,5.44
62.69890202,-8.81982097,5.7
62.70783742,26.48103948,5.39
62.71013758,-41.99374121,4.93
62.74592506,33.5868138,5.75
62.83414887,5.52303505,5.71
62.90073099,-20.35627812,5.8
62.96638834,-6.8377787,4.04
63.38794242,7.7160341,5.29
63.48496228,9.26389844,4.84
63.5003388,-42.29387294,3.85
63.59872149,-10.2558889,4.87
63.60596306,-62.47397888,3.33
63.65099178,10.01143911,5.22
63.7022883,-62.19204942,5.45
63.72212566,40.48372394,4.67
63.72440722,48.40937312,4.12
63.8234923,-7.64455846,4.43
63.88352173,8.89240989,4.27
64.00621426,-51.48709578,4.26
64.12118133,-59.30174841,4.44
64.17960437,53.61180318,5.2
64.22311681,61.85004125,5.69
64.28363443,57.86047655,5.72
64.31535896,20.57874033,4.93
64.33012941,-6.47215975,5.95
64.41777199,-63.25549171,5.88
64.47341068,-33.79833145,3.55
64.49656949,-80.21418106,5.67
64.56073112,50.29563944,4.6
64.56697503,-20.71530624,6.0
64.59642362,21.57937928,5.64
64.80492598,50.04883763,5.46
64.8193549,-44.26783026,5.33
64.85866225,21.14241058,5.5
64.90286245,21.77359174,5.34
64.94805793,15.62770031,3.65
64.99014508,14.03524954,5.58
65.0479676,50.92095135,5.55
65.06007219,41.80815345,5.95
65.08847817,27.35094069,4.97
65.10273351,34.56674228,4.93
65.15101968,15.09550358,5.26
65.16248826,-20.63959902,5.38
65.16818726,65.14045287,5.26
65.17188935,6.13090686,5.76
65.17846608,-7.59249081,5.85
65.24179812,-81.58022679,5.78
65.36270888,-0.09786658,5.86
65.38811942,46.4989629,4.8
65.44826292,60.73590167,5.4
65.46592207,56.50630039,5.91
65.47173239,-63.38681514,5.24
65.51437351,14.07725051,5.72
65.59471274,20.82141842,5.91
65.6455435,25.62935771,5.38
65.73344722,17.5425843,3.77
65.77358735,-24.89211883,5.81
65.8541598,16.77732694,5.64
65.8848204,20.98212975,6.0
65.92033483,-3.74533244,5.17
65.96599009,9.46098377,5.1
66.00902233,-34.01698632,3.97
66.02372401,17.44421161,4.8
66.12141978,34.1308408,5.73
66.15593384,33.95988843,5.77
66.23774871,19.0420923,5.97
66.27233379,-61.23824628,5.94
66.34207825,22.29398098,4.21
66.35393596,22.2001124,5.27
66.37215593,17.92798917,4.3
66.52607257,31.43920664,5.29
66.57664484,22.81369394,4.28
66.58613217,15.6183462,4.48
66.65156991,14.71385764,4.69
66.76206107,80.82421018,5.42
66.82269876,22.99636881,5.53
66.86987518,11.21233208,5.87
66.94184598,-62.52121428,5.74
67.00300662,21.62000558,5.72
67.05539751,83.80776284,5.51
67.0972362,14.74102599,5.9
67.10985479,16.35962902,4.96
67.13378878,1.38087416,5.53
67.14346805,15.96221721,3.84
67.15388879,19.18052092,3.53
67.16256011,-19.45859808,5.95
67.16531219,15.8709468,3.4
67.20875444,13.04763905,5.02
